ID	Label	Definition	Synonym	Subset	Xref_MESH	Xref_DOID	Xref_UMLS	Xref_CHEBI	Xref_GO	Xref_MONDO	Comment
ARDS_POI:01077	spontaneous breathing trial	Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.	once-daily spontaneous breathing trial	POI_intervention	D011895		C0034063				source:robot_template_row
ARDS_POI:01084	Acute respiratory distress syndrome	Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.	ARDS subphenotype identification	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01088	Acute respiratory distress syndrome		Ards Inflammation Severity	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01089	Acute respiratory distress syndrome		Ards Shock Metabolic Acidosis	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01090	Acute respiratory distress syndrome	3 categories of ARDS based on hypoxemia severity (mild, moderate, severe), with explicit criteria for timing, edema origin, and chest radiograph.	Berlin definition for ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01100	Acute respiratory distress syndrome	Ventilation strategy using low tidal volumes, recruitment maneuvers, and high positive end-expiratory pressure for acute lung injury and acute respiratory distress syndrome.	Experimental ventilation strategy for ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01109	Early mobilization	A protocol using an ICU mobility team to initiate physical therapy within 48 hours of mechanical ventilation for acute respiratory failure.	Early ICU mobility therapy protocol	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01115	Critical Illness Myopathy		Immobilization Weakness Critical Illness	POI_mechanism	D009135	DOID:0080203	C0410674				source:mechanism_node
ARDS_POI:01116	Dexamethasone	Intravenous dexamethasone 20 mg daily for 5 days, then 10 mg daily for 5 days or until ICU discharge, for treatment of COVID-19-associated ARDS.	Dexamethasone for COVID-19-associated ARDS	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:41879			source:robot_template_row
ARDS_POI:01121	Prone positioning	Placing patients in a prone (face down) position for six or more hours daily for 10 days.		POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01125	Prone positioning		Oxygenation Improvement Prone Positioning	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01126	Prone positioning		No Survival Benefit Prone Positioning	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01127	acute chest syndrome	Treatment protocol including matched transfusions, bronchodilators, and bronchoscopy for acute chest syndrome in sickle cell disease.	Treatment protocol for acute chest syndrome in sickle cell disease	POI_intervention	D056586	DOID:0050711	C0239952			MONDO:0005632	source:robot_template_row
ARDS_POI:01136	Non-invasive ventilation	Non-invasive ventilation to improve survival and quality of life in patients with amyotrophic lateral sclerosis.		POI_intervention	D000690	DOID:11110	C0023272				source:robot_template_row
ARDS_POI:01142	Mechanical ventilation	Mechanical ventilation with PEEP adjusted according to esophageal pressure measurements to estimate transpulmonary pressure and optimize alveolar recruitment.	Mechanical ventilation guided by esophageal pressure	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01149	restrictive red blood cell transfusion	Maintain hematocrit ≥24% in patients undergoing cardiac surgery with cardiopulmonary bypass.	Restrictive red blood cell transfusion strategy	POI_intervention	D000740	DOID:650	C0001625				source:robot_template_row
ARDS_POI:01153	Epidural anesthesia and analgesia	Use of epidural anaesthesia intraoperatively and epidural analgesia postoperatively for major abdominal surgery.	epidural anaesthesia and analgesia	POI_intervention	D015733		C0014618				source:robot_template_row
ARDS_POI:01158	Positive-Pressure Ventilation	Noninvasive ventilation delivered through a face mask for patients with acute respiratory failure.	Noninvasive positive-pressure ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01163	Growth Hormone Administration	Administration of growth hormone to critically ill adults hospitalized for prolonged periods.		POI_intervention	D006400		C0018400	CHEBI:37845			source:robot_template_row
ARDS_POI:01166	methylprednisolone therapy	Prolonged administration of methylprednisolone (initial dose 2 mg/kg/day, duration 32 days) for unresolving ARDS.	prolonged methylprednisolone therapy	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:6888			source:robot_template_row
ARDS_POI:01169	Pulmonary Artery Catheter	Use of pulmonary artery catheter to guide hemodynamic management in patients with acute lung injury.	pulmonary-artery-catheter-guided-hemodynamic-management	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01172	Inferior vena cava diameter	Measuring respiratory changes in inferior vena cava diameter to predict fluid responsiveness in septic patients with acute lung injury.	respiratory changes in inferior vena cava diameter	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01179	Enteral Nutrition	Trophic enteral feeding providing 400 kcal/day for the first 6 days in patients with acute lung injury requiring mechanical ventilation.	trophic enteral feeding for first 6 days	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01184	Acute respiratory distress syndrome	Use of SpO2/FIO2 ratio to diagnose and monitor ALI and ARDS, with thresholds of 235 for ARDS (PaO2/FIO2 200) and 315 for ALI (PaO2/FIO2 300).	SpO2/FIO2 ratio as surrogate for PaO2/FIO2 ratio in ALI/ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01188	Extracorporeal membrane oxygenation	Multivariable logistic regression model to predict hospital survival for patients with severe acute respiratory failure receiving ECMO.	RESP score for ECMO survival prediction	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01194	Pulmonary Artery Catheter	Pulmonary artery catheter for hemodynamic monitoring in critically ill patients.	Pulmonary artery catheter (PAC)	POI_intervention	D053528		C0034095				source:robot_template_row
ARDS_POI:01199	Pneumonia	Tocilizumab 8 mg/kg IV on day 1 and day 3 if clinically indicated, for treatment of moderate to severe COVID-19 pneumonia.	Tocilizumab for COVID-19 pneumonia	POI_disease	D000086382	DOID:0080600	C5203670				source:robot_template_row
ARDS_POI:01203	Enteral nutrition with omega-3 fatty acids and antioxidants	Enteral feeding with a combination of eicosapentaenoic acid (EPA), gamma-linolenic acid (GLA), and antioxidants to reduce pulmonary inflammation and improve oxygenation in patients with acute respiratory distress syndrome.	Enteral feeding with EPA+GLA and antioxidants	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:25805			source:robot_template_row
ARDS_POI:01207	Inflammatory response		Anti Inflammatory Effects Epa Gla	POI_mechanism	D007249		C0021368		GO:0006954		source:mechanism_node
ARDS_POI:01208	Vasodilation		Vasodilatory Effects Epa Gla	POI_mechanism	D014664		C0042401		GO:0019229		source:mechanism_node
ARDS_POI:01209	Inflammatory response		Reduced Lung Inflammation	POI_mechanism	D007249		C0021368		GO:0006954		source:mechanism_node
ARDS_POI:01210	Lung Microvascular Permeability		Improved Lung Microvascular Permeability	POI_mechanism	D055806		C0678697		GO:0016525		source:mechanism_node
ARDS_POI:01211	Oxygenation		Improved Oxygenation Cardiopulmonary Function	POI_mechanism	D010100		C0242402				source:mechanism_node
ARDS_POI:01212	Grip Strength	Comprehensive assessment of global muscle strength and handgrip dynamometry to diagnose ICU-acquired paresis and predict mortality in critically ill patients.	Global strength and handgrip dynamometry assessment	POI_intervention	D008668		C0085493				source:robot_template_row
ARDS_POI:01217	Tidal volume ventilation	Ventilation with tidal volumes larger than 6 mL/kg predicted body weight, a proposed risk factor for ventilator-associated lung injury and ARDS.	large tidal volume ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01219	Tidal volume ventilation	Ventilation strategy using lower tidal volumes (6 mL/kg) compared to traditional higher tidal volumes (12 mL/kg) in patients with acute lung injury.	lower tidal volume ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01228	Ventilator-induced lung injury	Ventilation strategy that leads to increased epithelial cell apoptosis in the kidney and small intestine, contributing to organ dysfunction in ARDS.	Injurious ventilation strategy	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01232	Non-invasive Ventilation	Noninvasive ventilation for the treatment of acute respiratory failure in solid organ transplant recipients.	Noninvasive ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01239	Positive end-expiratory pressure	Use of high positive end-expiratory pressure (12 cm H2O) with recruitment maneuvers during general anesthesia for open abdominal surgery.	High PEEP with recruitment maneuvers during general anesthesia for open abdominal surgery	POI_intervention	D011656		C0032943				source:robot_template_row
ARDS_POI:01245	Pulmonary artery catheterization	Early use of pulmonary artery catheter in patients with shock and acute respiratory distress syndrome.	early use of pulmonary artery catheter	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01249	recombinant human angiotensin-converting enzyme 2	Recombinant human angiotensin-converting enzyme 2 (rhACE2, GSK2586881) to replete ACE2 and modulate renin-angiotensin system signaling in acute respiratory distress syndrome.	recombinant human angiotensin-converting enzyme 2 (rhACE2)	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:81399			source:robot_template_row
ARDS_POI:01253	Acute respiratory distress syndrome		Ras Signaling Dysregulation Ards	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01254	Acute respiratory distress syndrome		Ace2 Depletion Ards	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01255	ACE2 repletion attenuates lung injury		Ace2 Repletion Lung Injury Attenuation	POI_mechanism	D000072502	DOID:3082	C0024109		GO:0010628		source:mechanism_node
ARDS_POI:01272	Pulmonary Surfactant	Continuous administration of aerosolized synthetic surfactant (13.5 mg/mL dipalmitoylphosphatidylcholine) for treatment of sepsis-induced ARDS.	aerosolized synthetic surfactant	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:49637			source:robot_template_row
ARDS_POI:01276	Acute respiratory distress syndrome		Surfactant Deficiency In Ards	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01277	Pulmonary Surfactant		Surfactant Replacement Physiology Improvement	POI_mechanism	D011663		C0038924	CHEBI:131681	GO:0001568		source:mechanism_node
ARDS_POI:01278	High-flow nasal cannula oxygen therapy		high-flow oxygen therapy	POI_intervention	D015408		C5203670				source:robot_template_row
ARDS_POI:01282	cough flow measurement	Ability to generate peak cough flow of at least 160 L/min predicts successful extubation and tracheostomy decannulation in patients with neuromuscular ventilatory insufficiency.	Peak cough flow threshold for extubation/decannulation	POI_intervention	D003934		C0010107				source:robot_template_row
ARDS_POI:01287	Haloperidol	Intravenous haloperidol with maximum daily dose of 20 mg for treatment of delirium in critically ill patients.	haloperidol for delirium in critical illness	POI_intervention	D003693		C0011253	CHEBI:5613			source:robot_template_row
ARDS_POI:01291	Prone positioning	Ventilation in the prone position for most of the day to improve oxygenation and alveolar recruitment in severe ARDS.	Prone ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01296	Pneumonia	Intravenous bolus of 0.5 mg/kg methylprednisolone every 12 hours for 5 days, started within 36 hours of admission, for patients with severe community-acquired pneumonia and high inflammatory response.	Methylprednisolone for severe community-acquired pneumonia	POI_disease	D010940	DOID:552	C0034065			MONDO:0019122	source:robot_template_row
ARDS_POI:01302	Inflammatory response		Inflammatory Response Attenuation	POI_mechanism	D007249		C0021368		GO:0006954		source:mechanism_node
ARDS_POI:01303	inflammasome pathway regulation	The inflammasome pathway and its downstream cytokines play critical roles in ARDS development.		POI_mechanism	D012128	DOID:11394	C0035222		GO:0006953		source:robot_template_row
ARDS_POI:01308	Lactate measurement	Serial monitoring of blood lactate levels to assess patient response to therapy and guide management of acutely ill patients.	serial blood lactate measurements	POI_intervention	D007790		C0023007	CHEBI:24996			source:robot_template_row
ARDS_POI:01312	Acute respiratory distress syndrome	Rosuvastatin, a 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitor, administered to critically ill patients with sepsis-associated acute respiratory distress syndrome.	Rosuvastatin for sepsis-associated ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01317	Inflammatory response		Inflammation Modulation	POI_mechanism	D007249		C0021368		GO:0006954		source:mechanism_node
ARDS_POI:01318	Organ Dysfunction Prevention			POI_mechanism	D009102		C0424707				source:mechanism_node
ARDS_POI:01319	Acute respiratory distress syndrome	Persistent inflammatory cytokine signaling (IL-1beta, IL-8, ENA-78) is a proposed mechanism driving the persistent inflammatory process and severity of ARDS.	Inflammatory cytokine signaling in ARDS	POI_mechanism	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01324	COVID-19	Early treatment with anakinra, an IL-1α/β inhibitor, in COVID-19 patients at risk of progressing to respiratory failure as identified by elevated plasma suPAR levels.	Anakinra early treatment of COVID-19	POI_disease	D000086382	DOID:0080600	C5203912				source:robot_template_row
ARDS_POI:01331	Superior vena cava collapsibility	Measurement of superior vena caval collapsibility as an index of fluid responsiveness in septic shock patients on mechanical ventilation.	Superior vena caval collapsibility measurement	POI_intervention	D012359		C0036802				source:robot_template_row
ARDS_POI:01337	pleural pressure		Respiratory Variation Pleural Pressure	POI_mechanism	D010994		C0032707				source:mechanism_node
ARDS_POI:01338	Non-invasive Ventilation	Continuous helmet noninvasive ventilation with PEEP 10-12 cmH2O and pressure support 10-12 cmH2O for at least 48 hours, followed by high-flow nasal oxygen, in patients with COVID-19 and moderate to severe hypoxemic respiratory failure.	Helmet noninvasive ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01342	Acute respiratory distress syndrome	Oral simvastatin 80mg daily for up to 28 days in patients with acute respiratory distress syndrome.	simvastatin for ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01352	Acute respiratory distress syndrome	The alveolar space is the site of intense inflammatory and profibrotic reactions in the early phase of acute respiratory distress syndrome.	Alveolar inflammation and fibrosis in early ARDS	POI_mechanism	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01370	Prone positioning	Awake prone positioning for patients with COVID-19 acute hypoxaemic respiratory failure requiring high-flow nasal cannula support.	Awake prone positioning	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01373	Prone positioning		Improved Oxygenation Prone Positioning	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01374	Prone positioning		Reduced Intubation Prone Positioning	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01375	Prone positioning		Reduced Mortality Prone Positioning	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01376	Furosemide and Albumin Combination Therapy	Combination of furosemide diuretic and albumin in hypoproteinemic patients with acute lung injury or ARDS.	Furosemide with albumin therapy	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:31642			source:robot_template_row
ARDS_POI:01380	Oxygen therapy	Administration of supplemental oxygen (FiO2 > 0.21) during the perioperative period.	Supplemental oxygen during perioperative period	POI_intervention	D010015		C0030054				source:robot_template_row
ARDS_POI:01384	Acute lung injury	Negative cumulative fluid balance on day 4 of acute lung injury, associated with reduced hospital mortality, more ventilator-free days, and more ICU-free days.	Negative cumulative fluid balance in acute lung injury	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01389	Fluid Balance		Fluid Balance Optimization	POI_mechanism	D005440		C0016086		GO:0007589		source:mechanism_node
ARDS_POI:01390	pulmonary edema prevention			POI_mechanism	D011654		C0034063				source:mechanism_node
ARDS_POI:01391	Acute respiratory distress syndrome	Lung ultrasound examination to assess global and regional lung aeration and positive end-expiratory pressure-induced recruitment in ARDS patients.	Lung ultrasound for assessment of lung aeration and recruitment in ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01400	Physiologic Dead Space Ratio		Decreased Physiologic Deadspace Ratio	POI_mechanism	D003683		C0011560				source:mechanism_node
ARDS_POI:01401	Prone positioning		Increased Oxygenation With Prone Position	POI_mechanism	D056152		C0150119				source:mechanism_node
ARDS_POI:01402	Partial Liquid Ventilation	Perflubron administration into trachea until dependent lung zone filled, followed by gas ventilation of perflubron-filled lung.		POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01407	Acute respiratory distress syndrome	Formal consensus training for interpreting chest radiographs to diagnose ARDS based on diffuse bilateral infiltrates.	consensus training for ARDS diagnosis	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01421	Acute respiratory distress syndrome	Use of extracorporeal carbon dioxide removal (ECCO2R) to enable ultra-protective ventilation (Vt 4 mL/kg, Pplat ≤25 cmH2O) in moderate acute respiratory distress syndrome.	ECCO2R to facilitate ultra-protective ventilation in ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01426	Extracorporeal membrane oxygenation	A prognostic score based on extrapulmonary organ dysfunction (hospital LOS, bilirubin, creatinine, hematocrit, MAP) at ECMO initiation to predict mortality risk in ARDS patients receiving venovenous ECMO.	ECMOnet score for ARDS-ECMO mortality risk	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01430	Low tidal volume ventilation		lung protective ventilator strategy	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01432	Acute respiratory distress syndrome	Dysphagia symptoms in ARDS survivors who received prolonged oral intubation, likely due to pharyngeal/laryngeal injury and neuromuscular dysfunction.	Dysphagia in ARDS survivors after intubation	POI_outcome	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01439	Acute respiratory distress syndrome	Procalcitonin serum level measurement for discrimination of septic vs nonseptic causes of early acute respiratory distress syndrome.	procalcitonin ards biomarker	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01444	Acute respiratory distress syndrome		Non Sepsis Induced Ards	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01445	Acute respiratory distress syndrome		Ards Biomarker Discrimination	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01451	Sepsis	Derivation of sepsis molecular phenotypes (hypoinflammatory, hyperinflammatory) using latent class analysis of clinical data and biomarkers. Evaluation of concordance with ARDS phenotypes and implications for personalized management.	Sepsis molecular phenotyping	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01457	Sepsis		Sepsis Heterogeneity	POI_mechanism	D018805	DOID:0080642	C0243026				source:mechanism_node
ARDS_POI:01458	Acute respiratory distress syndrome	Machine learning models using clinical variables to assign ARDS patients to hyperinflammatory or hypoinflammatory subphenotypes.	Machine learning ARDS subphenotype classifier	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01466	Cuff leak test	Diagnostic test to detect upper airway obstruction by measuring air leak around an endotracheal tube cuff.	cuff-leak test	POI_intervention	D001348		C0004096				source:robot_template_row
ARDS_POI:01469	soluble receptor for advanced glycation end products	Elevated plasma levels of soluble receptor for advanced glycation end products (sRAGE) associated with nonfocal CT-based ARDS lung imaging pattern.	elevated plasma sRAGE	POI_mechanism	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01472	Acute respiratory distress syndrome		Ards Phenotyping Focal Nonfocal	POI_mechanism	D012128	DOID:11394	C0035222				source:mechanism_node
ARDS_POI:01473	RAGE signaling pathway		Rage Pathway Activation	POI_mechanism	D011971		C1155361		GO:0008625		source:mechanism_node
ARDS_POI:01477	Acute respiratory distress syndrome	Propose that the Berlin definition of ARDS be broadened to include patients treated with HFNO of at least 30 L/min who fulfil the other criteria for the Berlin definition of ARDS.	Expanded Berlin ARDS definition to include HFNO	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01490	Spontaneous Breathing Trial	Daily screening of respiratory function by clinicians to identify patients capable of spontaneous breathing, followed by 2-hour trials and notification of physicians.	Daily screening and trials of spontaneous breathing	POI_intervention	D012134		C0034063				source:robot_template_row
ARDS_POI:01496	Respiratory Failure		Respiratory Failure Reversal Recognition	POI_mechanism	D012131	DOID:11162	C0035229				source:mechanism_node
ARDS_POI:01497	Mechanical ventilation		Earlier Mechanical Ventilation Discontinuation	POI_mechanism	D008686		C0199470				source:mechanism_node
ARDS_POI:01498	Sedation	Nursing-implemented protocol for sedation administration during mechanical ventilation	Protocol-directed sedation	POI_intervention	D003612		C0036557				source:robot_template_row
ARDS_POI:01500	Acute respiratory distress syndrome	Supportive care for critically ill ARDS patients, including refinements in ventilator and fluid management.	supportive care for ARDS	POI_disease	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01502	pressure-limited ventilation	Ventilation strategy that limits peak airway pressure to ≤30 cmH2O and tidal volume to ≤8 mL/kg in patients at high risk for ARDS.	pressure- and volume-limited ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01504	high-frequency oscillatory ventilation	Use of high-frequency oscillatory ventilation for moderate-to-severe ARDS.		POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01507	Positive-Pressure Respiration	Non-invasive positive pressure ventilation to manage respiratory failure in COPD exacerbations.	non-invasive positive pressure ventilation	POI_intervention	D011556		C0034067				source:robot_template_row
ARDS_POI:01514	Spontaneous breathing trial	2-hour T-tube spontaneous breathing trial to assess readiness for extubation and discontinuation of mechanical ventilation.	T-tube spontaneous breathing trial	POI_intervention	D011889		C0034585				source:robot_template_row
ARDS_POI:01521	Tidal volume ventilation	Limiting end-inspiratory plateau pressure to 25 cm H2O using tidal volume below 10 ml/kg of body weight.	Tidal volume reduction for ARDS	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01525	Spontaneous Breathing Trial	30-minute spontaneous breathing trial for ventilator weaning.	30-minute spontaneous breathing trial	POI_intervention	D011879		C0034065				source:robot_template_row
ARDS_POI:01529	Methylprednisolone	Methylprednisolone infusion at 1 mg/kg/day for up to 28 days in early severe ARDS, to down-regulate systemic inflammation and improve pulmonary and extrapulmonary organ dysfunction.	Methylprednisolone infusion	POI_intervention	D012128	DOID:11394	C0035222	CHEBI:6888			source:robot_template_row
ARDS_POI:01533	Inflammatory response		Systemic Inflammation Down Regulation	POI_mechanism	D007249		C0021368		GO:0006954		source:mechanism_node
ARDS_POI:01534	Pulmonary Function		Pulmonary Function Improvement	POI_mechanism	D011652		C0231921		GO:0007626		source:mechanism_node
ARDS_POI:01535	Organ Function		Extrapulmonary Organ Function Improvement	POI_mechanism	D009931		C0678723		GO:0048513		source:mechanism_node
ARDS_POI:01536	Critically ill patients	Physiotherapy targeting deconditioning, impaired airway clearance, atelectasis, intubation avoidance, and weaning failure in critically ill adult patients.	Physiotherapy for critically ill adults	POI_population	D003294		C0010300				source:robot_template_row
ARDS_POI:01543	Tocilizumab	Intravenous tocilizumab 8mg/kg up to 800mg, administered twice within 12 hours, for treatment of COVID-19 pneumonia.		POI_intervention	D000086382	DOID:0080600	C5203670	CHEBI:64360			source:robot_template_row
ARDS_POI:01554	Fluid Therapy	Fluid challenge with either 1,000 ml crystalloids or 500 ml colloids to assess fluid responsiveness.	fluid challenge	POI_intervention	D005440		C0150357				source:robot_template_row
ARDS_POI:01558	Lymphopenia	Low lymphocyte count on admission as a marker of severe COVID-19 disease course.	Lymphopenia on admission	POI_intervention	D008231	DOID:614	C0024141				source:robot_template_row
ARDS_POI:01560	Low tidal volume ventilation	Ventilation strategy using low tidal volumes (4-7 mL/kg), limitation of peak inspiratory pressure to 30-40 cmH2O, spontaneous breathing with SIMV, and permissive hypercapnia without bicarbonate buffering to reduce ventilator-induced lung injury in severe ARDS.	Lung-protective ventilation with low tidal volumes and permissive hypercapnia	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01565	Noninvasive Positive Pressure Ventilation	Extubation and application of noninvasive pressure support ventilation by face mask, used as an alternative to invasive pressure support ventilation for weaning patients with COPD and acute hypercapnic respiratory failure.	noninvasive pressure support ventilation	POI_intervention	D053120		C0199926				source:robot_template_row
ARDS_POI:01571	Alveolar recruitment		Alveolar Recruitment Noninvasive Ventilation	POI_mechanism	D000072601				GO:0045087		source:mechanism_node
ARDS_POI:01572	Respiratory Mechanics		Respiratory Mechanics Optimization	POI_mechanism	D012378		C0035203		GO:0007588		source:mechanism_node
