IRI,Label,Subset,Definition,Xrefs,Synonyms,Expert_Approved,Expert_Comment,Suggested_Correction,Auto_Xref,Auto_Xref_Source,Auto_Definition,PMID_Evidence,Suggested_Subset,Reclassify_Reason,Duplicate_Of,Label_Quality,Disease_Boundary_Note
ARDS_POI_02820,Congestive heart failure diagnosis,POI_context,,,,,,,42343007,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01420,Critical care context,POI_context,,,,,,,D003422,BioPortal,Health care provided to a critically ill patient during a medical emergency or crisis.,,,,,,
ARDS_POI_02357,Critical illness with H1N1 virus infection,POI_context,,,,,,,D016638,BioPortal,A disease or state in which death is possible or imminent.,,,,,,
ARDS_POI_02819,Do-not-intubate order,POI_context,,,,,,,Thesaurus.owl#C93313,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02303,End-stage cancer,POI_context,,,,,,,42796001,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01837,Extubation readiness,POI_context,,,,,,,Thesaurus.owl#C50819,BioPortal,"The removal of a previously inserted tube from a hollow organ or passageway, often from the airway.",,,,,,
ARDS_POI_02452,Finland,POI_context,,,,,,,D005387,BioPortal,"A country in northern Europe, bordering the Baltic Sea, Gulf of Bothnia, and Gulf of Finland, between Sweden and Russia. The capital is Helsinki.",,,GEOGRAPHIC — consider removing or merging into 'European context',,,
ARDS_POI_03232,First 48 hours ARDS context,POI_context,"Critical initiation window for ARDS interventions: prone (PROSEVA: <36h), NMB (48h infusion), dexamethasone (within 24h of severity criteria).",,,,,,255249005,BioPortal,,,,,,,
ARDS_POI_01243,General anesthesia context,POI_context,,,,,,,D000768,BioPortal,Procedure in which patients are induced into an unconscious state through use of various medications so that they do not feel pain during surgery.,,,,,,
ARDS_POI_01688,Hemodynamic instability context,POI_context,,,,,,,422773005,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_03285,High PEEP ventilation strategy,POI_context,"Ventilation strategy using PEEP >10–12 cmH₂O, typically guided by ARDSNet high-PEEP/FiO₂ table or transpulmonary pressure titration. Benefits vary strongly by ARDS subphenotype and CT morphology: bene",,,,,,D006612,BioPortal,,10793162,,,,,
ARDS_POI_01157,High-risk population context,POI_context,,,,,,,Thesaurus.owl#C102666,BioPortal,An indication that a person is part of a population group that has a greater chance of contracting a disease or disorder.,,,,,,
ARDS_POI_01351,ICU admission,POI_context,,,,,,,Thesaurus.owl#C25385,BioPortal,The condition of being allowed to enter; the activity of admitting someone to something.,,,,,,
ARDS_POI_01787,ICU setting,POI_context,,,,,,,Thesaurus.owl#C217431,BioPortal,Beside monitoring for a condition or disorder while the patient is in the intensive care unit.,,,,,,
ARDS_POI_02522,Intracranial hemorrhage,POI_context,,,,,,,1386000,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_03235,Lighter sedation era clinical context,POI_context,"Post-2015 ICU practice targeting RASS 0 to −2. Negates apparent NMB benefit seen in ACURASYS (2010, deep sedation era). ROSE (PMID 31112383) confirmed null in this context.",,,,,,75926004,BioPortal,,,,,,,
ARDS_POI_02515,Limited oxygen delivery,POI_context,,,,,,,16206004,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02006,Lung recruitability,POI_context,,,,,,,D008168,BioPortal,Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.,,,,,,
ARDS_POI_01099,Major abdominal surgery context,POI_context,,,,,,,161617006,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02538,Mask air leaks,POI_context,,,,,,,261382003,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02078,Non-cardiac surgery,POI_context,,,,,,,Thesaurus.owl#C168254,BioPortal,A history of a surgery not involving the heart.,,,,,,
ARDS_POI_01564,Noncardiothoracic surgery,POI_context,,,,,,,Q000601,BioPortal,"Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which transplantation is used.",,,,,,
ARDS_POI_03234,One-lung ventilation surgical context,POI_context,"Thoracic surgery requiring OLV: non-ventilated lung atelectasis, V/Q mismatch. iPROVE-OLV (PMID 38065200): individualized OLA beneficial (RR 0.39); contrast iPROVE (abdominal) null.",,,,,,D061810,BioPortal,,38065200,,,,,
ARDS_POI_02304,Palliative care context,POI_context,,,,,,,D010166,BioPortal,"Care alleviating symptoms without curing the underlying disease. (Stedman, 25th ed)",,,,,,
ARDS_POI_01383,Perioperative context,POI_context,,,,,,,Thesaurus.owl#C28374,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01456,Pharmacotherapy context,POI_context,,,,,,,Thesaurus.owl#C15986,BioPortal,Treatment of disease through the use of drugs.,,,,,,
ARDS_POI_01553,Post-COVID era,POI_context,,,,,,,1119303003,BioPortal,Symptoms attributed to SARS-CoV-2 infection that persist for more than three weeks following onset.,,,,,,
ARDS_POI_01281,Postextubation context,POI_context,,,,,,,263491009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02203,Postoperative period,POI_context,,,,,,,D011184,BioPortal,The period following a surgical operation.,,,,,,
ARDS_POI_01165,Prolonged hospitalization,POI_context,,,,,,,Thesaurus.owl#C171989,BioPortal,Hospitalization or prolonged hospitalization due to the health damage accompanying the use of device.,,,,,,
ARDS_POI_01687,Respiratory acidosis context,POI_context,,,,,,,D000142,BioPortal,Respiratory retention of carbon dioxide. It may be chronic or acute.,,,,,,
ARDS_POI_02808,SARS context,POI_context,,,,,,,263491009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02035,SARS critical illness,POI_context,,,,,,,D016638,BioPortal,A disease or state in which death is possible or imminent.,,,,,,
ARDS_POI_02038,SARS outbreak context,POI_context,,,,,,,263491009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_03261,Severe ARDS context PaO2/FiO2 less than 150,POI_context,"Clinical context defined by PaO₂/FiO₂ <150 mmHg on PEEP ≥5 cmH₂O for >12–36h on mechanical ventilation. Mandatory eligibility threshold for prone positioning benefit (PROSEVA, PMID 23688302) and a key",,,,,,Thesaurus.owl#C61585,BioPortal,,22797452,,,ARDS_POI_03233,,
ARDS_POI_03233,Severe ARDS context PaO2/FiO2 less than 150,POI_context,PaO₂/FiO₂ <150 mmHg on PEEP ≥5 cmH₂O for >12–36h. Required for prone benefit (PROSEVA) and VV-ECMO consideration (EOLIA).,,,,,,Thesaurus.owl#C61585,BioPortal,,22797452,,,ARDS_POI_03261,,
ARDS_POI_01264,Severe acute hypoxemic respiratory failure,POI_context,,,,,,,709111008,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_03121,Severe ards duration over 72h,POI_context,,,,,,,408170000,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02497,Severe brain injury,POI_context,,,,,,,Thesaurus.owl#C50440,BioPortal,Trauma to the brain.,,,,,,
ARDS_POI_01248,Shock,POI_context,,,,,,,D012769,BioPortal,A pathological condition manifested by failure to perfuse or oxygenate vital organs.,,,,,,
ARDS_POI_01238,Solid organ transplantation,POI_context,,,,,,,Thesaurus.owl#C191377,BioPortal,"The transfer of a solid organ, or solid organ part, from one individual to another or from one location to another within an individual.",,,,,,
ARDS_POI_01940,Stable hemodynamics context,POI_context,,,,,,,D006439,BioPortal,The movement and the forces involved in the movement of the blood through the CARDIOVASCULAR SYSTEM.,,,,,,
ARDS_POI_02822,Strong cough,POI_context,,,,,,,260404005,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02716,Subarachnoid hemorrhage,POI_context,,,,,,,D013345,BioPortal,"Bleeding into the intracranial or spinal SUBARACHNOID SPACE, most resulting from INTRACRANIAL ANEURYSM rupture. It can occur after traumatic injuries (SUBARACHNOID HEMORRHAGE, TRAUMATIC). Clinical features include HEADACHE; NAUSEA; VOMITING, nuchal rigidity, variable neurological deficits and reduce",,,,,,
ARDS_POI_02239,Suburban community context,POI_context,,,,,,,D018881,BioPortal,The status of health in suburban populations.,,,,,,
ARDS_POI_01369,Surgery,POI_context,,,,,,,Q000601,BioPortal,"Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which transplantation is used.",,,,,,
ARDS_POI_02202,Thoracic surgery,POI_context,,,,,,,D013903,BioPortal,"A surgical specialty concerned with diagnosis and treatment of disorders of the heart, lungs, and esophagus. Two major types of thoracic surgery are classified as pulmonary and cardiovascular.",,,,,,
ARDS_POI_02312,Underlying lung disease,POI_context,,,,,,,402638007,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02103,United States,POI_context,,,,,,,D014481,BioPortal,A country in NORTH AMERICA between CANADA and MEXICO.,,,GEOGRAPHIC — consider removing or using MESH:D014481,,,
ARDS_POI_02150,Ventilator-dependent patients,POI_context,,,,,,,Thesaurus.owl#C50430,BioPortal,A condition that requires mechanical life support due to inability to breath effectively to maintain normal levels of oxygen and carbon dioxide in the body.,,,,,,
ARDS_POI_01141,Without severe bulbar dysfunction,POI_context,,,,,,,991000124109,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02101,Worse outcomes in USA,POI_context,,,,,,,315550009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,OUTCOME STATEMENT — should be POI_outcome or removed,,,
ARDS_POI_02843,92 kda gelatinase elevation ards,POI_disease,,,,,,,C425160,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_biomarker,"This is a biomarker (MMP-9), not a disease",,POOR — starts with number,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_01084,ARDS subphenotype identification,POI_disease,,,,,,,Thesaurus.owl#C25737,BioPortal,The procedure of having an identity established.,,POI_mechanism,"This is a diagnostic/classification process, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02058,Acute On Chronic Respiratory Failure Pathogenesis,POI_disease,,,,,,,67905004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02250,Acute exacerbations of chronic obstructive pulmonary disease,POI_disease,,,,,,,195951007,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_01678,Acute hypoxemic nonhypercapnic respiratory insufficiency,POI_disease,,,,,,,709111008,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_03270,Acute respiratory distress syndrome,POI_disease,Life-threatening syndrome of acute diffuse inflammatory lung injury. 2012 Berlin criteria: acute onset within 1 week of clinical insult; bilateral opacities on imaging; PaO₂/FiO₂ ≤300 mmHg on PEEP ≥5 ,,,,,,67782005,BioPortal,,,,,,,
ARDS_POI_01980,Adrenal insufficiency,POI_disease,,,,,,,D000309,BioPortal,"Conditions in which the production of adrenal CORTICOSTEROIDS falls below the requirement of the body. Adrenal insufficiency can be caused by defects in the ADRENAL GLANDS, the PITUITARY GLAND, or the HYPOTHALAMUS.",,,,,,
ARDS_POI_02550,Alveolar Edema Reduction,POI_disease,,,,,,,183328002,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_outcome,"This is an outcome, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02853,American european ards definition,POI_disease,,,,,,,900000000000550004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_context,"This is a historical context/criteria, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_01140,Amyotrophic lateral sclerosis,POI_disease,,,,,,,D000690,BioPortal,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATIO",,,,,,
ARDS_POI_02854,Anakinra early treatment covid19,POI_disease,,,,,,,385549000,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_01152,Anemia,POI_disease,,,,,,,D000740,BioPortal,A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.,,,,,,
ARDS_POI_02856,Ards condition,POI_disease,,,,,,,260905004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02857,Ards costs of care,POI_disease,,,,,,,D017048,BioPortal,"The actual costs of providing services related to the delivery of health care, including the costs of procedures, therapies, and medications. It is differentiated from HEALTH EXPENDITURES, which refers to the amount of money paid for the services, and from fees, which refers to the amount charged, r",,,,,,
ARDS_POI_02858,Ards developing in previously healthy patients,POI_disease,,,,,,,Thesaurus.owl#C115935,BioPortal,Having no significant health-related issues.,,,,,,
ARDS_POI_02859,Ards diagnosis accuracy,POI_disease,,,,,,,Thesaurus.owl#C49145,BioPortal,The quality of nearness to the truth or the true value.,,,,,,
ARDS_POI_02860,Ards diagnosis threshold,POI_disease,,,,,,,118589004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02861,Ards frequency,POI_disease,,,,,,,260864003,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02862,Ards hyperinflammatory phenotype,POI_disease,,,,,,,1351853000,BioPortal,"A rare autoinflammatory syndrome with immune deficiency characterized by recurrent infections (bacterial and viral) due to NCKAP1L mutations. Patients present with recurrent respiratory tract infections and recurrent pneumonia mostly causing bronchiectasis, bacteremia, and meningitis. Patients also ",33253239,,,,,
ARDS_POI_02864,Ards respiratory illness severity,POI_disease,,,,,,,D012720,BioPortal,Levels within a diagnostic group which are established by various measurement criteria applied to the seriousness of a patient's disorder.,,,,,,
ARDS_POI_02868,Ards susceptibility,POI_disease,,,,,,,118588007,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02869,Ards triggering risk factor,POI_disease,,,,,,,80943009,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02877,Berlin definition ards severity criteria,POI_disease,,,,,,,Thesaurus.owl#C117962,BioPortal,A standard from which a judgment concerning an event severity can be established.,22797452,POI_context,Diagnostic criteria — belongs in POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02878,Berlin definition criteria for ards,POI_disease,,,,,,,Thesaurus.owl#C173500,BioPortal,"A consensus definition for acute respiratory distress syndrome that establishes three mutually exclusive categories of ARDS based on degree of hypoxemia, radiographic severity, respiratory system compliance, positive end-expiratory pressure, and corrected expired volume per minute.",22797452,POI_context,Diagnostic criteria — belongs in POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_01073,COPD exacerbation,POI_disease,,,,,,,Thesaurus.owl#C124138,BioPortal,"A worsening of a problem, condition, or disease.",,,,,,
ARDS_POI_03204,COVID-19-associated ARDS,POI_disease,"ARDS in SARS-CoV-2 infection characterised by endotheliitis, microvascular thrombosis, and prolonged inflammatory response.",,,,,,Thesaurus.owl#C171560,BioPortal,,,,,,,
ARDS_POI_02057,Cardiogenic Pulmonary Edema Pathogenesis,POI_disease,,,,,,,95437004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02559,Chronic renal failure,POI_disease,,,,,,,90688005,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02315,Chronic respiratory failure,POI_disease,,,,,,,39871006,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_01617,Congestive heart failure,POI_disease,,,,,,,42343007,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02888,Corticosteroids prevention ards,POI_disease,,,,,,,293141009,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02889,Corticosteroids treatment ards,POI_disease,,,,,,,293141009,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02891,Criteria defined clinical algorithm ards treatment,POI_disease,,,,,,,Thesaurus.owl#C126042,BioPortal,A description of the disease response to treatment as characterized by the clinical trial protocol.,,POI_context,Diagnostic criteria → POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02056,De Novo Acute Respiratory Failure Pathogenesis,POI_disease,,,,,,,65710008,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02901,Decreasing ards incidence over time,POI_disease,,,,,,,238692003,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02902,Decreasing hospital acquired ards,POI_disease,,,,,,,277056009,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_02903,Delayed dysphagia recovery ards survivors,POI_disease,,,,,,,129821003,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,,,,,
ARDS_POI_01043,Delirium duration,POI_disease,,,,,,,D003693,BioPortal,"A disorder characterized by CONFUSION; inattentiveness; disorientation; ILLUSIONS; HALLUCINATIONS; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, p",,,,,,
ARDS_POI_02905,Delphi ards definition,POI_disease,,,,,,,D003697,BioPortal,"An iterative questionnaire designed to measure consensus among individual responses. In the classic Delphi approach, there is no interaction between responder and interviewer.",,POI_context,Diagnostic criteria → POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02907,Depression after ards,POI_disease,,,,,,,Thesaurus.owl#C113456,BioPortal,A question about whether an individual had depression after stopping the use of dexamethasone.,,,,,,
ARDS_POI_02912,Discrimination septic nonseptic ards,POI_disease,,,,,,,Thesaurus.owl#C92450,BioPortal,The unfair treatment of a person or group based on class or category bias.,,,,,,
ARDS_POI_02914,Dysphagia symptoms ards survivors,POI_disease,,,,,,,D017741,BioPortal,"Persons who have experienced a prolonged survival after serious disease or who continue to live with a usually life-threatening condition as well as family members, significant others, or individuals surviving traumatic life events.",,,,,,
ARDS_POI_02919,Ecla use during ards,POI_disease,,,,,,,Thesaurus.owl#C63018,BioPortal,"Problem associated with the undesired introduction of impurities either chemical or microbiological in nature, or of foreign matter into or onto a device at the user facility.",,,,,,
