ID	Label	Parent	Definition	Synonym	Xref_DOID	Xref_MESH	Xref_UMLS	Subset	Source_PMIDs	N_Sources	Xref_CHEBI	Xref_GO	Xref_MONDO	Normalized_Label
ARDS_POI:01169	pulmonary-artery-catheter-guided-hemodynamic-management		Use of pulmonary artery catheter to guide hemodynamic management in patients with acute lung injury.	PAC	DOID:11394	D012128	C0035222	POI_intervention	16714768	1				
ARDS_POI:01170	No improvement in survival or organ function							POI_outcome	16714768	1				
ARDS_POI:01171	Catheter-Related Complications			Increased catheter-related complications		D002404	C0085881	POI_outcome	16714768	1				
ARDS_POI:01172	Inferior vena cava diameter	ARDS_POI:01174	Measuring respiratory changes in inferior vena cava diameter to predict fluid responsiveness in septic patients with acute lung injury.	respiratory changes in inferior vena cava diameter	DOID:11394	D012128	C0035222	POI_intervention	15034650	1				
ARDS_POI:01173	Inferior vena cava diameter changes			Respiratory changes in IVC diameter		D014682	C0042458	POI_intervention	15034650	1				
ARDS_POI:01174	Fluid responsiveness			Fluid responsiveness prediction		D064818	C4277706	POI_outcome	15034650|15754196	2				
ARDS_POI:01175	Intrathoracic Pressure			Intrathoracic pressure change		D019571	C0020515	POI_mechanism	15034650	1				
ARDS_POI:01176	Venous return			Venous return change		D014690	C0042958	POI_mechanism	15034650	1		GO:0008217		
ARDS_POI:01177	Sepsis				DOID:0080642	D012671	C0036771	POI_population	27734109|33009098|12441753|33620405|15034650|37633303	6				
ARDS_POI:01178	Mechanical ventilation					D008886	C0086746	POI_context	15375649|15343007|14991090|15034650|16840741|23689789|9279244|16100131|27620292|9563730|11373414|11126271|20055989|27818331|21242788|15695492	16				
ARDS_POI:01179	Enteral Nutrition		Trophic enteral feeding providing 400 kcal/day for the first 6 days in patients with acute lung injury requiring mechanical ventilation.	trophic enteral feeding for first 6 days	DOID:11394	D012128	C0035222	POI_intervention	22307571	1				
ARDS_POI:01180	Enteral nutrition			Trophic enteral feeding for first 6 days		D004750	C0014210	POI_intervention	22307571	1				
ARDS_POI:01181	Enteral Nutrition			Full enteral feeding for first 6 days		D004750	C0014332	POI_intervention	22307571	1				
ARDS_POI:01182	Ventilator-free days			Ventilator-free days to study day 28			C3853727	POI_outcome	22307571|11897644|34463700	3				
