ID	Label	Parent	Definition	Synonym	Xref_DOID	Xref_MESH	Xref_UMLS	Subset	Source_PMIDs	N_Sources
ARDS_POI:01074	Dependent lung atelectasis with one-lung ventilation							POI_mechanism	32479829|12574072|16618955	3
ARDS_POI:01075	Postoperative pulmonary complications					D011656	C0032943	POI_outcome	32479829|16618955	2
ARDS_POI:01076	One-lung ventilation					D053120	C0199926	POI_context	7599810|11445688|12574072|16352797|32479829	5
ARDS_POI:01077	once-daily spontaneous breathing trial	ARDS_POI:01080	Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.			D011895	C0034063	POI_intervention	7823995	1
ARDS_POI:01078	Reduced weaning duration							POI_outcome	7823995|16840741	2
ARDS_POI:01079	Increased successful weaning rate							POI_outcome	7823995	1
ARDS_POI:01080	Weaning from mechanical ventilation					D018118	C0043299	POI_context	7823995|12411288|9279224	3
ARDS_POI:01081	Ventilator rate titration							POI_mechanism	7823995	1
ARDS_POI:01082	Pressure support ventilation weaning							POI_mechanism	7823995	1
ARDS_POI:01083	Spontaneous breathing trial frequency							POI_mechanism	7823995	1
ARDS_POI:01084	ARDS subphenotype identification	disease-subphenotype-discovery	Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.		DOID:11394	D012128	C0035222	POI_intervention	24853585	1
ARDS_POI:01085	ARDS hyperinflammatory subphenotype							POI_outcome	24853585	1
ARDS_POI:01086	Higher mortality, fewer ventilator-free days, fewer organ failure-free days							POI_outcome	24853585	1
ARDS_POI:01087	Differential PEEP response by ARDS subphenotype							POI_outcome	24853585	1
ARDS_POI:01088	Ards Inflammation Severity	biological-process						POI_mechanism	24853585	1
ARDS_POI:01089	Ards Shock Metabolic Acidosis	biological-process						POI_mechanism	24853585	1
ARDS_POI:01090	Berlin definition for ARDS	ards-diagnostic-criteria	3 categories of ARDS based on hypoxemia severity (mild, moderate, severe), with explicit criteria for timing, edema origin, and chest radiograph.		DOID:11394	D012128	C0035222	POI_intervention	23370917|29466596	2
ARDS_POI:01091	Berlin definition ARDS criteria					D012128	C0035222	POI_intervention	29466596	1
ARDS_POI:01092	Improved ARDS diagnosis							POI_outcome	29466596	1
ARDS_POI:01093	Minimize ventilator-induced lung injury							POI_intervention	29466596	1
ARDS_POI:01094	Reduced ARDS mortality							POI_outcome	7924367|29466596	2
ARDS_POI:01095	Prone positioning for ARDS							POI_intervention	29466596|19903918|14668608	3
ARDS_POI:01096	Ineffective pharmacologic interventions for ARDS							POI_intervention	29466596	1
ARDS_POI:01097	No benefit of pharmacologic ARDS treatments							POI_outcome	29466596	1
ARDS_POI:01098	Reduced major pulmonary and extrapulmonary complications within 7 days					D011656	C0032943	POI_outcome	23902482	1
ARDS_POI:01099	Major abdominal surgery context							POI_context	23902482|11965272	2
ARDS_POI:01100	Experimental ventilation strategy for ARDS	ARDS_POI:01066	Ventilation strategy using low tidal volumes, recruitment maneuvers, and high positive end-expiratory pressure for acute lung injury and acute respiratory distress syndrome.		DOID:11394	D012128	C0035222	POI_intervention	18270352	1
ARDS_POI:01101	Target tidal volumes of 6 mL/kg of predicted body weight							POI_intervention	18270352	1
ARDS_POI:01102	Plateau pressures not exceeding 40 cm H2O							POI_intervention	18270352	1
ARDS_POI:01103	Recruitment maneuvers				DOID:11394	D012128	C0035222	POI_intervention	11790648|18270352	2
ARDS_POI:01104	Higher positive end-expiratory pressures							POI_intervention	18270352	1
ARDS_POI:01105	Reduced mortality in ARDS					D012128	C0035222	POI_outcome	9669790|8814466|19325471|18626628|33784486|18270352|9449728|9105072|9847275|21666446|28222804	11
ARDS_POI:01106	Reduced barotrauma in ARDS					D012128	C0035222	POI_outcome	11967593|18270352	2
ARDS_POI:01107	Reduced refractory hypoxemia in ARDS					D012128	C0035222	POI_outcome	18270352	1
ARDS_POI:01108	Reduced death with refractory hypoxemia in ARDS					D012128	C0035222	POI_outcome	18270352	1
ARDS_POI:01109	Early ICU mobility therapy protocol	physical-therapy-for-critical-illness	A protocol using an ICU mobility team to initiate physical therapy within 48 hours of mechanical ventilation for acute respiratory failure.	ICU mobility protocol	DOID:11394	D012128	C0035222	POI_intervention	18596631	1
ARDS_POI:01110	Early physical therapy in ICU							POI_intervention	18596631	1
ARDS_POI:01111	Increased physical therapy provision in ICU survivors					D010996	C0034867	POI_outcome	18596631	1
ARDS_POI:01112	Reduced ICU length of stay					D007835	C0023013	POI_outcome	10634340|27734109|7874950|18596631|9556465|15599160	6
ARDS_POI:01113	Reduced hospital length of stay					D006801	C0022727	POI_outcome	9872200|18596631	2
ARDS_POI:01114	Acute respiratory failure					D011655	C0034065	POI_intervention	26651376|9700176|35569448|11035684|27755068|12447511|18090351|31408142|8542113|27367766|21666446|11990914|10634340|18629471|21958974|11529210|18596631|10712326|12958051|25062496|21242788|20581167	22
ARDS_POI:01115	Immobilization Weakness Critical Illness	biological-process						POI_mechanism	18596631	1
ARDS_POI:01116	Dexamethasone for COVID-19-associated ARDS	glucocorticoid-therapy	Intravenous dexamethasone 20 mg daily for 5 days, then 10 mg daily for 5 days or until ICU discharge, for treatment of COVID-19-associated ARDS.		DOID:11394	D012128	C0035222	POI_intervention	32876695	1
ARDS_POI:01117	Dexamethasone for COVID-19-associated ARDS							POI_intervention	32876695	1
ARDS_POI:01118	Increased ventilator-free days at 28 days							POI_outcome	32876695	1
ARDS_POI:01119	Improved SOFA score at 7 days							POI_outcome	32876695	1
ARDS_POI:01120	COVID-19-associated ARDS				DOID:11394	D012128	C0035222	POI_disease	32876695	1
ARDS_POI:01121	prone positioning	ventilation-strategy	Placing patients in a prone (face down) position for six or more hours daily for 10 days.		DOID:11394	D012128	C0035222	POI_intervention	19903918|24102072|24435203|33823862|33464919|14668608|11529210	7
ARDS_POI:01122	Prone positioning in acute respiratory failure							POI_intervention	11529210	1
ARDS_POI:01123	Improved oxygenation					D010375	C0029863	POI_outcome	15547166|34425070|16096441|19001507|16081548|17383982|28762180|11529210	8
ARDS_POI:01124	No survival benefit							POI_outcome	11529210	1
ARDS_POI:01125	Oxygenation Improvement Prone Positioning	biological-process						POI_mechanism	11529210	1
ARDS_POI:01126	No Survival Benefit Prone Positioning	biological-process						POI_mechanism	11529210	1
ARDS_POI:01127	Treatment protocol for acute chest syndrome in sickle cell disease	sickle-cell-disease-management	Treatment protocol including matched transfusions, bronchodilators, and bronchoscopy for acute chest syndrome in sickle cell disease.					POI_intervention	10861320	1
ARDS_POI:01128	Acute chest syndrome							POI_disease	10861320	1
ARDS_POI:01129	Sickle cell disease					D012719	C0036341	POI_disease	10861320	1
ARDS_POI:01130	Matched transfusions					D001522	C0013384	POI_intervention	10861320	1
ARDS_POI:01131	Bronchodilators					D001960	C0006078	POI_intervention	10861320	1
ARDS_POI:01132	Bronchoscopy					D001976	C0006118	POI_intervention	10861320	1
ARDS_POI:01133	Fat embolism					D005151	C0014652	POI_mechanism	10861320	1
ARDS_POI:01134	Community-acquired pneumonia					D011024	C0032285	POI_mechanism	10861320|26258555|12204871	3
ARDS_POI:01135	Infection					D007239	C0021311	POI_mechanism	10861320|12006450	2
ARDS_POI:01136	non-invasive ventilation	ventilation-strategy	Non-invasive ventilation to improve survival and quality of life in patients with amyotrophic lateral sclerosis.	NIV	DOID:11110	D000690	C0023272	POI_intervention	19183949|16426990|21424246	3
ARDS_POI:01137	Non-invasive ventilation							POI_intervention	16426990|21424246	2
ARDS_POI:01138	Improved survival in ALS					D000690	C0023272	POI_outcome	16426990	1
ARDS_POI:01139	Improved quality of life in ALS					D000690	C0023272	POI_outcome	16426990	1
ARDS_POI:01140	Amyotrophic lateral sclerosis					D000690	C0023272	POI_disease	16426990	1
ARDS_POI:01141	Without severe bulbar dysfunction							POI_context	16426990	1
ARDS_POI:01142	Mechanical ventilation guided by esophageal pressure	ARDS_POI:01066	Mechanical ventilation with PEEP adjusted according to esophageal pressure measurements to estimate transpulmonary pressure and optimize alveolar recruitment.		DOID:11394	D012128	C0035222	POI_intervention	19001507	1
ARDS_POI:01143	Transpulmonary pressure monitoring							POI_mechanism	19001507	1
ARDS_POI:01144	Alveolar recruitment optimization							POI_mechanism	19001507	1
ARDS_POI:01145	Prevention of alveolar collapse							POI_mechanism	19001507	1
ARDS_POI:01146	Prevention of alveolar overdistension							POI_mechanism	19001507	1
ARDS_POI:01147	Ventilation guided by esophageal pressure							POI_intervention	19001507	1
ARDS_POI:01148	Improved respiratory compliance							POI_outcome	8520744|19001507	2
ARDS_POI:01149	Restrictive red blood cell transfusion strategy	anemia-management-strategy	Maintain hematocrit ≥24% in patients undergoing cardiac surgery with cardiopulmonary bypass.		DOID:650	D000740	C0001625	POI_intervention	20940381	1
ARDS_POI:01150	Similar 30-day mortality and severe morbidity vs liberal strategy							POI_outcome	20940381	1
ARDS_POI:01151	Cardiac surgery with cardiopulmonary bypass							POI_context	20940381	1
ARDS_POI:01152	Anemia				DOID:650	D000740	C0001625	POI_disease	20940381	1
ARDS_POI:01153	epidural anaesthesia and analgesia	perioperative-pain-management	Use of epidural anaesthesia intraoperatively and epidural analgesia postoperatively for major abdominal surgery.					POI_intervention	11965272	1
ARDS_POI:01154	Reduced respiratory failure							POI_outcome	11965272	1
ARDS_POI:01155	Reduced postoperative pain							POI_outcome	11965272	1
ARDS_POI:01156	No difference in major adverse outcomes							POI_outcome	11965272	1
ARDS_POI:01157	High-risk population context							POI_context	11965272	1
ARDS_POI:01158	Noninvasive positive-pressure ventilation	mechanical-ventilation-strategy	Noninvasive ventilation delivered through a face mask for patients with acute respiratory failure.		DOID:11394	D012128	C0035222	POI_intervention	9700176|8147550|8797425|9872200|10712326|17133177|15483407|15599160|11673215	9
ARDS_POI:01159	Improved PaO2:FiO2 ratio within 1 hour							POI_outcome	9700176	1
ARDS_POI:01160	Reduced serious complications							POI_outcome	9700176	1
ARDS_POI:01161	Reduced pneumonia/sinusitis related to intubation							POI_outcome	9700176	1
ARDS_POI:01162	Shorter ventilation duration and ICU LOS							POI_outcome	9700176	1
ARDS_POI:01163	growth hormone administration	treatment	Administration of growth hormone to critically ill adults hospitalized for prolonged periods.			D006400	C0018400	POI_intervention	10477776	1
ARDS_POI:01164	Increased in-hospital mortality					D008288	C0085604	POI_outcome	25855899|23339639|10477776|33341155|25466352	5
ARDS_POI:01165	Prolonged hospitalization							POI_context	10477776	1
ARDS_POI:01166	prolonged methylprednisolone therapy	ARDS_POI:02339	Prolonged administration of methylprednisolone (initial dose 2 mg/kg/day, duration 32 days) for unresolving ARDS.		DOID:11394	D012128	C0035222	POI_intervention	9669790	1
ARDS_POI:01167	Improved lung function in ARDS					D012128	C0035222	POI_outcome	9669790	1
ARDS_POI:01168	Unresolving ARDS					D012128	C0035222	POI_context	9669790	1
ARDS_POI:01169	pulmonary-artery-catheter-guided-hemodynamic-management	hemodynamic-monitoring-strategy	Use of pulmonary artery catheter to guide hemodynamic management in patients with acute lung injury.	PAC	DOID:11394	D012128	C0035222	POI_intervention	16714768	1
ARDS_POI:01170	No improvement in survival or organ function							POI_outcome	16714768	1
ARDS_POI:01171	Increased catheter-related complications							POI_outcome	16714768	1
ARDS_POI:01172	respiratory changes in inferior vena cava diameter	ARDS_POI:01174	Measuring respiratory changes in inferior vena cava diameter to predict fluid responsiveness in septic patients with acute lung injury.		DOID:11394	D012128	C0035222	POI_intervention	15034650	1
ARDS_POI:01173	Respiratory changes in IVC diameter							POI_intervention	15034650	1
ARDS_POI:01174	Fluid responsiveness prediction							POI_outcome	15034650|15754196	2
ARDS_POI:01175	Intrathoracic pressure change							POI_mechanism	15034650	1
ARDS_POI:01176	Venous return change							POI_mechanism	15034650	1
ARDS_POI:01177	Sepsis					D012671	C0036771	POI_population	27734109|33009098|12441753|33620405|15034650|37633303	6
ARDS_POI:01178	Mechanical ventilation					D008886	C0086746	POI_context	15375649|15343007|14991090|15034650|16840741|23689789|9279244|16100131|27620292|9563730|11373414|11126271|20055989|27818331|21242788|15695492	16
ARDS_POI:01179	trophic enteral feeding for first 6 days	enteral-nutrition-strategy	Trophic enteral feeding providing 400 kcal/day for the first 6 days in patients with acute lung injury requiring mechanical ventilation.		DOID:11394	D012128	C0035222	POI_intervention	22307571	1
ARDS_POI:01180	Trophic enteral feeding for first 6 days							POI_intervention	22307571	1
ARDS_POI:01181	Full enteral feeding for first 6 days							POI_intervention	22307571	1
ARDS_POI:01182	Ventilator-free days to study day 28							POI_outcome	22307571|11897644|34463700	3
ARDS_POI:01183	Gastrointestinal intolerances							POI_outcome	22307571	1
ARDS_POI:01184	SpO2/FIO2 ratio as surrogate for PaO2/FIO2 ratio in ALI/ARDS	diagnostic-tool	Use of SpO2/FIO2 ratio to diagnose and monitor ALI and ARDS, with thresholds of 235 for ARDS (PaO2/FIO2 200) and 315 for ALI (PaO2/FIO2 300).	S/F ratio	DOID:11394	D012128	C0035222	POI_intervention	17573487	1
ARDS_POI:01185	SpO2/FIO2 ratio correlation with PaO2/FIO2 ratio							POI_mechanism	17573487	1
ARDS_POI:01186	ARDS diagnosis threshold					D012128	C0035222	POI_outcome	17573487	1
ARDS_POI:01187	ALI diagnosis threshold							POI_outcome	17573487	1
ARDS_POI:01188	RESP score for ECMO survival prediction	prediction-model	Multivariable logistic regression model to predict hospital survival for patients with severe acute respiratory failure receiving ECMO.	Respiratory ECMO Survival Prediction (RESP) score	DOID:11394	D012128	C0035222	POI_intervention	24693864	1
ARDS_POI:01189	RESP score for ECMO survival prediction							POI_intervention	24693864	1
ARDS_POI:01190	Improved ECMO survival prediction							POI_outcome	24693864	1
ARDS_POI:01191	Severe acute respiratory failure							POI_context	27245914|24693864	2
ARDS_POI:01192	ECMO treatment					D004997	C0013616	POI_context	9315812|24693864	2
ARDS_POI:01193	External validation of RESP score AUC							POI_outcome	24693864	1
ARDS_POI:01194	Pulmonary artery catheter (PAC)	hemodynamic-monitoring-device	Pulmonary artery catheter for hemodynamic monitoring in critically ill patients.			D053528	C0034095	POI_intervention	16204666	1
ARDS_POI:01195	No impact on mortality					D008875	C0026516	POI_outcome	16204666	1
ARDS_POI:01196	No impact on hospital length of stay					D006801	C0019080	POI_outcome	16204666	1
ARDS_POI:01197	Increased inotrope use					D007342	C0021789	POI_outcome	16204666	1
ARDS_POI:01198	Increased IV vasodilator use							POI_outcome	16204666	1
ARDS_POI:01199	Tocilizumab for COVID-19 pneumonia	anti-IL6-therapy	Tocilizumab 8 mg/kg IV on day 1 and day 3 if clinically indicated, for treatment of moderate to severe COVID-19 pneumonia.	TCZ	DOID:0080600	D000086382	C5203670	POI_intervention	33080017	1
ARDS_POI:01200	Tocilizumab for COVID-19 pneumonia					D000086382	C5203670	POI_intervention	33080017	1
ARDS_POI:01201	Reduced WHO-CPS >5 at day 4							POI_outcome	33080017	1
ARDS_POI:01202	COVID-19 pneumonia					D000086382	C5203670	POI_disease	32255382|33080017|34133856|33080005	4
ARDS_POI:01203	Enteral feeding with EPA+GLA and antioxidants	ards-treatment	Enteral feeding with a combination of eicosapentaenoic acid (EPA), gamma-linolenic acid (GLA), and antioxidants to reduce pulmonary inflammation and improve oxygenation in patients with acute respiratory distress syndrome.		DOID:11394	D012128	C0035222	POI_intervention	10470743	1
ARDS_POI:01204	Enteral feeding with EPA+GLA and antioxidants							POI_intervention	10470743	1
ARDS_POI:01205	Reduced pulmonary neutrophil recruitment							POI_outcome	10470743	1
ARDS_POI:01206	Improved oxygenation and reduced ventilation							POI_outcome	10470743	1
ARDS_POI:01207	Anti Inflammatory Effects Epa Gla	biological-process						POI_mechanism	10470743	1
ARDS_POI:01208	Vasodilatory Effects Epa Gla	biological-process						POI_mechanism	10470743	1
ARDS_POI:01209	Reduced Lung Inflammation	biological-process						POI_mechanism	10470743	1
ARDS_POI:01210	Improved Lung Microvascular Permeability	biological-process						POI_mechanism	10470743	1
ARDS_POI:01211	Improved Oxygenation Cardiopulmonary Function	biological-process						POI_mechanism	10470743	1
ARDS_POI:01212	Global strength and handgrip dynamometry assessment	muscle-weakness-evaluation	Comprehensive assessment of global muscle strength and handgrip dynamometry to diagnose ICU-acquired paresis and predict mortality in critically ill patients.			D008668	C0085493	POI_intervention	18511703	1
ARDS_POI:01213	ICU-acquired paresis diagnosis					D008668	C0085493	POI_outcome	18511703	1
ARDS_POI:01214	ICU-acquired paresis mortality association							POI_outcome	18511703	1
ARDS_POI:01215	Handgrip dynamometry assessment					D006350	C0018941	POI_intervention	18511703	1
ARDS_POI:01216	Global muscle strength assessment							POI_intervention	18511703	1
ARDS_POI:01217	large tidal volume ventilation	ARDS_POI:01066	Ventilation with tidal volumes larger than 6 mL/kg predicted body weight, a proposed risk factor for ventilator-associated lung injury and ARDS.		DOID:11394	D012128	C0035222	POI_intervention	15343007	1
ARDS_POI:01218	Ventilator-associated lung injury					D012128	C0035222	POI_outcome	16374149|15343007|15695492	3
ARDS_POI:01219	lower tidal volume ventilation	ARDS_POI:01066	Ventilation strategy using lower tidal volumes (6 mL/kg) compared to traditional higher tidal volumes (12 mL/kg) in patients with acute lung injury.		DOID:11394	D012128	C0035222	POI_intervention	19841457|20055989|15644641	3
ARDS_POI:01220	Decreased interleukin-6					D007356	C0021753	POI_outcome	15644641	1
ARDS_POI:01221	Decreased interleukin-8					D007357	C0021756	POI_outcome	15644641	1
ARDS_POI:01222	Increased mortality risk					D008869	C0024102	POI_outcome	15644641	1
ARDS_POI:01223	Decreased ventilator-free days							POI_outcome	15644641	1
ARDS_POI:01224	Decreased organ failure-free days							POI_outcome	15644641	1
ARDS_POI:01225	Elevated interleukin-6					D007356	C0021753	POI_mechanism	15644641	1
ARDS_POI:01226	Elevated interleukin-8					D007357	C0021756	POI_mechanism	15644641	1
ARDS_POI:01227	Elevated interleukin-6 and interleukin-8							POI_mechanism	15644641	1
ARDS_POI:01228	Injurious ventilation strategy	ventilation-strategy	Ventilation strategy that leads to increased epithelial cell apoptosis in the kidney and small intestine, contributing to organ dysfunction in ARDS.		DOID:11394	D012128	C0035222	POI_intervention	12709468	1
ARDS_POI:01229	Epithelial cell apoptosis in kidney					D011656	C0032943	POI_mechanism	12709468	1
ARDS_POI:01230	Epithelial cell apoptosis in small intestine					D007428	C0010146	POI_mechanism	12709468	1
ARDS_POI:01231	Organ dysfunction in ARDS					D012128	C0035222	POI_outcome	12709468	1
ARDS_POI:01232	Noninvasive ventilation	ventilation-strategy	Noninvasive ventilation for the treatment of acute respiratory failure in solid organ transplant recipients.	NIV	DOID:11394	D012128	C0035222	POI_intervention	11990914|10634340|12689847|22406958|16276167|14500259|29099420	7
ARDS_POI:01233	Noninvasive ventilation							POI_intervention	11990914|14500259|10634340|16276167	4
ARDS_POI:01234	Reduced need for intubation and mechanical ventilation					D007196	C0021311	POI_outcome	30888444|11066186|10634340	3
ARDS_POI:01235	Improved PaO2/FiO2 ratio							POI_outcome	10634340|19325471	2
ARDS_POI:01236	Reduced fatal complications							POI_outcome	10634340	1
