poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int,xref_CHEBI,xref_GO,xref_MONDO,normalized_label,original_label,norm_method,norm_confidence
ARDS_POI:01034,death-or-severe-disability-6m,Death or severe disability at 6 months,POI_outcome,,,,,D009026,C0026565,kg_nodes,19762075,1,,,,Mortality,Death or severe disability at 6 months,rule,HIGH
ARDS_POI:01035,severe-adult-respiratory-failure,Severe adult respiratory failure,POI_intervention,,,,DOID:11162,D012128,C0035222,kg_nodes,19762075,1,,,,Respiratory Failure,Severe adult respiratory failure,claude_api,HIGH
ARDS_POI:01036,sars-cov-2-induced-hypercoagulability,SARS-CoV-2-induced hypercoagulability,POI_mechanism,,,,DOID:0080600,D000086382,C5203670,kg_nodes,32367170,1,,,,COVID-19,SARS-CoV-2-induced hypercoagulability,rule,HIGH
ARDS_POI:01037,covid-19-ards-associated-thrombosis,Thrombotic complications in COVID-19 ARDS,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,32367170,1,,,,Acute respiratory distress syndrome,Thrombotic complications in COVID-19 ARDS,rule,HIGH
ARDS_POI:01038,covid-19-endothelial-dysfunction,COVID-19-induced endothelial dysfunction,POI_mechanism,,,,DOID:0080600,D000086382,C5203670,kg_nodes,32367170,1,,,,COVID-19,COVID-19-induced endothelial dysfunction,rule,HIGH
ARDS_POI:01039,covid-19-induced-procoagulant-state,COVID-19-induced procoagulant state,POI_mechanism,,,,DOID:0080600,D000086382,C5203670,kg_nodes,32367170,1,,,,COVID-19,COVID-19-induced procoagulant state,rule,HIGH
ARDS_POI:01040,covid-19-ards,COVID-19-associated ARDS,POI_context,,,,DOID:11394,D012128,C0035222,kg_nodes,32367170|32859264|32616077|32861275|34127027|32697482,6,,,,Acute respiratory distress syndrome,COVID-19-associated ARDS,rule,HIGH
ARDS_POI:01041,covid-19,COVID-19,POI_disease,,,,DOID:0080600,C000657245,C5712302,kg_nodes,32367170|33764378|35569448|32616077|33341155|33080002|32483488|34480127|32442528,9,,,MONDO:0100096,COVID-19,COVID-19,rule,HIGH
ARDS_POI:01042,covid-19-inflammation-mediated-thrombosis,Covid 19 Inflammation Mediated Thrombosis,POI_mechanism,biological-process,,,DOID:0080600,D000086382,C5203670,mechanism_node,32367170,1,,,,COVID-19,Covid 19 Inflammation Mediated Thrombosis,rule,HIGH
ARDS_POI:01043,delirium-duration,Delirium duration,POI_mechanism,disease-risk-factor,"Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.",,DOID:4168,D003702,C0011573,robot_template_row,24088092,1,,,,Delirium,Delirium duration,claude_api,MEDIUM
ARDS_POI:01044,global-cognitive-impairment,Global cognitive impairment,POI_outcome,,,,DOID:12236,D002968,C0022407,kg_nodes,24088092,1,,,,Cognitive Impairment,Global cognitive impairment,claude_api,HIGH
ARDS_POI:01045,executive-function-impairment,Executive function impairment,POI_outcome,,,,,D005049,C0014861,kg_nodes,24088092,1,,GO:0008150,,Executive Function,Executive function impairment,claude_api,HIGH
ARDS_POI:01046,critical-illness,Critical illness context,POI_context,,,,DOID:0050897,D003287,C0010520,kg_nodes,18434379|33009098|10520649|27755068|9279244|27620292|18283429|25855899|24088092|17138955|16204666|9069000|15078758|23689789|35715504|18511703|12006450|25496103|10477776|33080002|27818331|29508705,22,,,,Critical Illness,Critical illness context,claude_api,HIGH
ARDS_POI:01047,higher-peep-levels,Higher PEEP levels,POI_intervention,lung-protective-ventilation-strategy,Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,15269312,1,,,,Positive end-expiratory pressure,Higher PEEP levels,rule,HIGH
ARDS_POI:01048,no-difference-mortality-or-unassisted-breathing,No difference in mortality or unassisted breathing days,POI_outcome,,,,,D009026,C0026565,kg_nodes,15269312,1,,,,Mortality,No difference in mortality or unassisted breathing days,rule,HIGH
ARDS_POI:01049,ards,Acute respiratory distress syndrome,POI_context,,,,DOID:11394,D012128,C0035222,kg_nodes,29466596|8630585|27755068|8569018|19841457|8756805|11967593|15269312|14645314|9228372|8810592|32410714|37633303|9559604|32631393|28877748|19903918|27018314|27611637|27179847|24435203|9769263|8111581|8810593|9603127|12709468|12897997|9105072|28222804|10579250|16137357|27734109|11371406|30048331|30776290|11008997|27983872|10470743|9929089|33784486|23497608|18626628|33876268|10404912|17585106|20483951|10789668|11790648|27342819|15774053|19001507|28108768|11897644|17383982|32861275|17133177|9310799,57,,,MONDO:0100130,Acute respiratory distress syndrome,Acute respiratory distress syndrome,rule,HIGH
ARDS_POI:01050,alveolar-recruitment-pressure-optimization,Alveolar recruitment pressure optimization,POI_mechanism,,,,,D000072601,,kg_nodes,15269312,1,,GO:0045087,,Alveolar recruitment,Alveolar recruitment pressure optimization,rule,HIGH
ARDS_POI:01051,lung-compliance-optimization,Lung compliance optimization,POI_mechanism,,,,,D012128,C0034096,kg_nodes,15269312|8111581,2,,,,Respiratory system compliance,Lung compliance optimization,rule,HIGH
ARDS_POI:01052,ventilator-induced-lung-injury-prevention,Ventilator-induced lung injury prevention,POI_mechanism,,,,,D055371,,kg_nodes,15269312,1,,GO:0097553,,Ventilator-induced lung injury,Ventilator-induced lung injury prevention,rule,HIGH
ARDS_POI:01053,critically-ill-covid-19-adults-nyc,Critically ill COVID-19 adults in NYC,POI_population,,,,DOID:0080600,D000086382,C5203670,kg_nodes,32442528,1,,,,COVID-19,Critically ill COVID-19 adults in NYC,rule,HIGH
ARDS_POI:01054,in-hospital-mortality,In-hospital mortality,POI_outcome,,,,,http://purl.bioontology.org/ontology/MESH/D017052,C0026565,kg_nodes,32442528,1,,,,Mortality,In-hospital mortality,rule,HIGH
ARDS_POI:01055,invasive-mechanical-ventilation,Invasive mechanical ventilation,POI_outcome,,,,,D053120,C0199926,kg_nodes,32442528|33823862,2,,,,Mechanical ventilation,Invasive mechanical ventilation,rule,HIGH
ARDS_POI:01056,vasopressor-use,Vasopressor use,POI_outcome,,,,,D014662,C0042402,kg_nodes,32442528,1,,,,Vasopressor Agents,Vasopressor use,claude_api,HIGH
ARDS_POI:01057,renal-replacement-therapy,Renal replacement therapy,POI_outcome,,,,,http://purl.bioontology.org/ontology/MESH/D017582,C0086675,kg_nodes,32442528,1,,,,Renal Replacement Therapy,Renal replacement therapy,claude_api,HIGH
ARDS_POI:01058,time-to-in-hospital-deterioration,Time to in-hospital deterioration,POI_outcome,,,,,D061345,C1521828,kg_nodes,32442528,1,,,,Time to clinical deterioration,Time to in-hospital deterioration,claude_api,HIGH
ARDS_POI:01059,lung-ultrasound-for-acute-respiratory-failure-diagnosis,lung ultrasound for acute respiratory failure diagnosis,POI_intervention,diagnostic-imaging-technique,"Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.",BLUE protocol,DOID:11394,D012128,C0035222,robot_template_row,18403664,1,,,,Lung ultrasound,lung ultrasound for acute respiratory failure diagnosis,claude_api,HIGH
ARDS_POI:01060,lung-ultrasound-artifacts,Lung ultrasound artifacts,POI_mechanism,,,,,D000816,C0183632,kg_nodes,18403664,1,,,,Ultrasound artifacts,Lung ultrasound artifacts,claude_api,MEDIUM
ARDS_POI:01061,lung-sliding-assessment,Lung sliding assessment,POI_mechanism,,,,,D000070641,C4236634,kg_nodes,18403664,1,,,,Lung sliding sign,Lung sliding assessment,claude_api,HIGH
ARDS_POI:01062,alveolar-consolidation-detection,Alveolar consolidation detection,POI_mechanism,,,,,D001424,C0240347,kg_nodes,18403664,1,,,,Alveolar consolidation,Alveolar consolidation detection,claude_api,HIGH
ARDS_POI:01063,pleural-effusion-detection,Pleural effusion detection,POI_mechanism,,,,DOID:11515,D010996,C0032227,kg_nodes,18403664,1,,,,Pleural Effusion,Pleural effusion detection,claude_api,HIGH
ARDS_POI:01064,ultrasound-profile-integration,Ultrasound profile integration,POI_mechanism,,,,,D014463,C0041618,kg_nodes,18403664,1,,,,Ultrasound imaging,Ultrasound profile integration,claude_api,MEDIUM
ARDS_POI:01065,acute-respiratory-failure-diagnosis,Acute respiratory failure diagnosis,POI_outcome,,,,DOID:11162,D012131,C0035229,kg_nodes,18403664,1,,,,Acute Respiratory Failure,Acute respiratory failure diagnosis,claude_api,HIGH
ARDS_POI:01066,lung-protective-ventilation-strategy,Lung-protective ventilation strategy,POI_intervention,ventilation-strategy,"Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.",,DOID:11394,D012128,C0035222,robot_template_row,23902482|10404912,2,,,,Low tidal volume ventilation,Lung-protective ventilation strategy,rule,HIGH
ARDS_POI:01067,reduced-pulmonary-and-systemic-cytokine-response,Reduced pulmonary and systemic cytokine response,POI_outcome,,,,,D006849,C0006850,kg_nodes,10404912,1,,GO:0034097,,Cytokine response,Reduced pulmonary and systemic cytokine response,claude_api,MEDIUM
ARDS_POI:01068,recruitment-derecruitment-minimization,Recruitment/derecruitment minimization,POI_mechanism,,,,,D006868,C1142475,kg_nodes,10404912,1,,,,alveolar recruitment maneuver,Recruitment/derecruitment minimization,claude_api,MEDIUM
ARDS_POI:01069,alveolar-overdistention-minimization,Alveolar overdistention minimization,POI_mechanism,,,,,D000860,C0520681,kg_nodes,10404912,1,,,,Alveolar overdistention,Alveolar overdistention minimization,claude_api,MEDIUM
ARDS_POI:01070,mechanical-ventilation-outcomes,Mechanical ventilation outcomes,POI_outcome,,,,,D008686,C0199470,kg_nodes,11790214,1,,,,Mechanical ventilation,Mechanical ventilation outcomes,rule,HIGH
ARDS_POI:01071,ards-mortality,ARDS mortality,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,11790214|12204859,2,,,,Acute respiratory distress syndrome,ARDS mortality,rule,HIGH
ARDS_POI:01072,copd-exacerbation-mortality,COPD exacerbation mortality,POI_outcome,,,,,D011654,C0024117,kg_nodes,11790214,1,,,,Mortality,COPD exacerbation mortality,rule,HIGH
ARDS_POI:01073,copd-exacerbation,COPD exacerbation,POI_disease,,,,DOID:0050741,D011654,C0024117,kg_nodes,11790214,1,,,,Chronic Obstructive Pulmonary Disease Exacerbation,COPD exacerbation,claude_api,HIGH
ARDS_POI:01074,dependent-lung-atelectasis-olv,Dependent lung atelectasis with one-lung ventilation,POI_mechanism,,,,,D016893,C0199470,kg_nodes,32479829|12574072|16618955,3,,,,One-lung ventilation,Dependent lung atelectasis with one-lung ventilation,rule,HIGH
ARDS_POI:01075,postoperative-pulmonary-complications,Postoperative pulmonary complications,POI_outcome,,,,,D011656,C0032943,kg_nodes,32479829|16618955,2,,,,Pulmonary complications,Postoperative pulmonary complications,rule,HIGH
ARDS_POI:01076,one-lung-ventilation,One-lung ventilation,POI_context,,,,,D053120,C0199926,kg_nodes,7599810|11445688|12574072|16352797|32479829,5,,,,One-lung ventilation,One-lung ventilation,rule,HIGH
ARDS_POI:01077,once-daily-spontaneous-breathing-trial,once-daily spontaneous breathing trial,POI_intervention,weaning-from-mechanical-ventilation,"Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.",,,D011895,C0034063,robot_template_row,7823995,1,,,,spontaneous breathing trial,once-daily spontaneous breathing trial,claude_api,HIGH
ARDS_POI:01078,reduced-weaning-duration,Reduced weaning duration,POI_outcome,,,,,D014886,C0043121,kg_nodes,7823995|16840741,2,,,,Weaning duration,Reduced weaning duration,claude_api,MEDIUM
ARDS_POI:01079,increased-successful-weaning-rate,Increased successful weaning rate,POI_outcome,,,,,D015300,C0043083,kg_nodes,7823995,1,,,,Successful weaning,Increased successful weaning rate,claude_api,HIGH
ARDS_POI:01080,weaning-from-mechanical-ventilation,Weaning from mechanical ventilation,POI_context,,,,,D018118,C0043299,kg_nodes,7823995|12411288|9279224,3,,,,Mechanical ventilation,Weaning from mechanical ventilation,rule,HIGH
ARDS_POI:01081,ventilator-rate-titration,Ventilator rate titration,POI_mechanism,,,,,D012121,C0199451,kg_nodes,7823995,1,,,,Ventilator rate adjustment,Ventilator rate titration,claude_api,HIGH
ARDS_POI:01082,pressure-support-ventilation-weaning,Pressure support ventilation weaning,POI_mechanism,,,,,D015300,C0199470,kg_nodes,7823995,1,,,,Pressure Support Ventilation Weaning,Pressure support ventilation weaning,claude_api,HIGH
ARDS_POI:01083,spontaneous-breathing-trial-frequency,Spontaneous breathing trial frequency,POI_mechanism,,,,,D015300,C0087151,kg_nodes,7823995,1,,,,Spontaneous breathing trial,Spontaneous breathing trial frequency,claude_api,MEDIUM
ARDS_POI:01084,ards-subphenotype-identification,ARDS subphenotype identification,POI_disease,disease-subphenotype-discovery,Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.,,DOID:11394,D012128,C0035222,robot_template_row,24853585,1,,,,Acute respiratory distress syndrome,ARDS subphenotype identification,rule,HIGH
ARDS_POI:01085,ards-hyperinflammatory-phenotype,ARDS hyperinflammatory subphenotype,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,24853585,1,,,,Acute respiratory distress syndrome,ARDS hyperinflammatory subphenotype,rule,HIGH
ARDS_POI:01086,higher-mortality-fewer-vfds-fewer-offd,"Higher mortality, fewer ventilator-free days, fewer organ failure-free days",POI_outcome,,,,,,C3853727,kg_nodes,24853585,1,,,,Ventilator-free days,"Higher mortality, fewer ventilator-free days, fewer organ failure-free days",rule,HIGH
ARDS_POI:01087,differential-peep-response-by-phenotype,Differential PEEP response by ARDS subphenotype,POI_outcome,,,,,D010863,C0034084,kg_nodes,24853585,1,,,,Positive end-expiratory pressure,Differential PEEP response by ARDS subphenotype,rule,HIGH
ARDS_POI:01088,ards-inflammation-severity,Ards Inflammation Severity,POI_mechanism,biological-process,,,DOID:11394,D012128,C0035222,mechanism_node,24853585,1,,,,Acute respiratory distress syndrome,Ards Inflammation Severity,rule,HIGH
ARDS_POI:01089,ards-shock-metabolic-acidosis,Ards Shock Metabolic Acidosis,POI_mechanism,biological-process,,,DOID:11394,D012128,C0035222,mechanism_node,24853585,1,,,,Acute respiratory distress syndrome,Ards Shock Metabolic Acidosis,rule,HIGH
ARDS_POI:01090,berlin-definition-for-ards,Berlin definition for ARDS,POI_disease,ards-diagnostic-criteria,"3 categories of ARDS based on hypoxemia severity (mild, moderate, severe), with explicit criteria for timing, edema origin, and chest radiograph.",,DOID:11394,D012128,C0035222,robot_template_row,23370917|29466596,2,,,,Acute respiratory distress syndrome,Berlin definition for ARDS,rule,HIGH
ARDS_POI:01091,berlin-definition-ards-severity-criteria,Berlin definition ARDS criteria,POI_disease,,,,DOID:11394,D012128,C0035222,kg_nodes,29466596,1,,,,Acute respiratory distress syndrome,Berlin definition ARDS criteria,rule,HIGH
ARDS_POI:01092,improved-ards-diagnosis,Improved ARDS diagnosis,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,29466596,1,,,,Acute respiratory distress syndrome,Improved ARDS diagnosis,rule,HIGH
ARDS_POI:01093,minimise-ventilator-induced-lung-injury,Minimize ventilator-induced lung injury,POI_mechanism,,,,,D055371,,kg_nodes,29466596,1,,GO:0097553,,Ventilator-induced lung injury,Minimize ventilator-induced lung injury,rule,HIGH
ARDS_POI:01094,reduced-ards-mortality,Reduced ARDS mortality,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,7924367|29466596,2,,,,Acute respiratory distress syndrome,Reduced ARDS mortality,rule,HIGH
ARDS_POI:01095,prone-positioning-ards,Prone positioning for ARDS,POI_intervention,,,,,D056152,C0150119,kg_nodes,29466596|19903918|14668608,3,,,,Prone positioning,Prone positioning for ARDS,rule,HIGH
ARDS_POI:01096,pharmacologic-interventions-ineffective-ards,Ineffective pharmacologic interventions for ARDS,POI_disease,,,,DOID:11394,D012128,C0035222,kg_nodes,29466596,1,,,,Acute respiratory distress syndrome,Ineffective pharmacologic interventions for ARDS,rule,HIGH
ARDS_POI:01097,no-benefit-ards-treatments,No benefit of pharmacologic ARDS treatments,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,29466596,1,,,,Acute respiratory distress syndrome,No benefit of pharmacologic ARDS treatments,rule,HIGH
ARDS_POI:01098,reduced-major-pulmonary-and-extrapulmonary-complications-7d,Reduced major pulmonary and extrapulmonary complications within 7 days,POI_outcome,,,,,D011656,C0032943,kg_nodes,23902482,1,,,,Pulmonary complications,Reduced major pulmonary and extrapulmonary complications within 7 days,rule,HIGH
ARDS_POI:01099,major-abdominal-surgery,Major abdominal surgery context,POI_context,,,,,D015746,C0001898,kg_nodes,23902482|11965272,2,,,,Abdominal Surgical Procedures,Major abdominal surgery context,claude_api,HIGH
ARDS_POI:01100,experimental-ventilation-strategy-for-ards,Experimental ventilation strategy for ARDS,POI_disease,lung-protective-ventilation-strategy,"Ventilation strategy using low tidal volumes, recruitment maneuvers, and high positive end-expiratory pressure for acute lung injury and acute respiratory distress syndrome.",,DOID:11394,D012128,C0035222,robot_template_row,18270352,1,,,,Acute respiratory distress syndrome,Experimental ventilation strategy for ARDS,rule,HIGH
ARDS_POI:01101,target-tidal-volumes-6-ml-kg-predicted-body-weight,Target tidal volumes of 6 mL/kg of predicted body weight,POI_intervention,,,,,D008686,C0199470,kg_nodes,18270352,1,,,,Tidal volume ventilation,Target tidal volumes of 6 mL/kg of predicted body weight,rule,HIGH
ARDS_POI:01102,plateau-pressures-not-exceeding-40-cm-h2o,Plateau pressures not exceeding 40 cm H2O,POI_outcome,,,,,,C3714541,kg_nodes,18270352,1,,,,Plateau pressure,Plateau pressures not exceeding 40 cm H2O,rule,HIGH
ARDS_POI:01103,recruitment-maneuvers,Recruitment maneuvers,POI_intervention,,,,DOID:11394,D012128,C0035222,kg_nodes,11790648|18270352,2,,,,Lung recruitment maneuver,Recruitment maneuvers,rule,HIGH
ARDS_POI:01104,higher-positive-end-expiratory-pressures,Higher positive end-expiratory pressures,POI_intervention,,,,,D010863,C0034084,kg_nodes,18270352,1,,,,Positive end-expiratory pressure,Higher positive end-expiratory pressures,rule,HIGH
ARDS_POI:01105,reduced-mortality-ards,Reduced mortality in ARDS,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,9669790|8814466|19325471|18626628|33784486|18270352|9449728|9105072|9847275|21666446|28222804,11,,,,Acute respiratory distress syndrome,Reduced mortality in ARDS,rule,HIGH
ARDS_POI:01106,reduced-barotrauma-ards,Reduced barotrauma in ARDS,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,11967593|18270352,2,,,,Acute respiratory distress syndrome,Reduced barotrauma in ARDS,rule,HIGH
ARDS_POI:01107,reduced-refractory-hypoxemia-ards,Reduced refractory hypoxemia in ARDS,POI_outcome,,,,DOID:11394,D012128,C0035222,kg_nodes,18270352,1,,,,Acute respiratory distress syndrome,Reduced refractory hypoxemia in ARDS,rule,HIGH
